dataset,k_name,k,n,baseline_mechanism,matched_smoothness,baseline_l1_prob_change,baseline_max_prob_change,baseline_regret,baseline_regret_per_k,linear_L,linear_regret,linear_regret_per_k,linear_minus_baseline_regret_per_k
Beta,k10pct,20,200,MERIT,9.000000000000005,1.0,0.5,0.0102523795126217,0.000512618975631085,9.000000000000005,0.020790990857037173,0.0010395495428518586,0.0005269305672207736
Beta,k10pct,20,200,Randomized Threshold,9.000000000000005,1.0,0.5,0.0146701234872459,0.000733506174362295,9.000000000000005,0.020790990857037173,0.0010395495428518586,0.0003060433684895636
Beta,k10pct,20,200,Swiss NSF,24.000000000000018,2.666666666666667,0.6666666666666667,0.0,0.0,24.000000000000018,0.001759031278155021,8.795156390775105e-05,8.795156390775105e-05
Beta,k33pct,67,200,MERIT,18.00000000000001,2.0,0.5,0.0293585828449352,0.00043818780365574925,18.00000000000001,0.0072062376072210554,0.00010755578518240382,-0.00033063201847334544
Beta,k33pct,67,200,Randomized Threshold,9.000000000000005,1.0,0.5,0.0794528785440249,0.0011858638588660433,9.000000000000005,0.020435983822352455,0.0003050146839157083,-0.000880849174950335
Beta,k33pct,67,200,Swiss NSF,17.035714285714278,1.8928571428571428,0.625,0.0188487955255851,0.0002813253063520164,17.035714285714278,0.0077560027001197795,0.00011576123433014596,-0.00016556407202187044
Beta,k50pct,100,200,MERIT,7.003636363636373,0.7781818181818192,0.3672727272727274,0.032414631394559,0.00032414631394559005,7.003636363636373,0.038062069669635434,0.00038062069669635433,5.6474382750764285e-05
Beta,k50pct,100,200,Randomized Threshold,9.0,1.0,0.5,0.1950882512019092,0.001950882512019092,9.0,0.023866576543923657,0.00023866576543923656,-0.0017122167465798554
Beta,k50pct,100,200,Swiss NSF,28.000000000000004,3.111111111111111,0.5555555555555556,0.0235364562614677,0.000235364562614677,28.000000000000004,0.003555620130327952,3.555620130327952e-05,-0.00019980836131139746
ICLR,k10pct,371,3710,MERIT,5.66048126817414,0.6289423631304596,0.3144711815652506,7.86763214935155,0.021206555658629514,5.66048126817414,3.4818311323697344,0.009384989575120578,-0.011821566083508936
ICLR,k10pct,371,3710,Randomized Threshold,422.99999999999983,47.0,0.5,0.2867724867725769,0.000772971662459776,422.99999999999983,0.0,0.0,-0.000772971662459776
ICLR,k10pct,371,3710,Swiss NSF,9.569169960474266,1.0632411067193623,0.5316205533596838,5.847142229750943,0.015760491185312517,9.569169960474266,1.399349035037801,0.0037718302831207576,-0.011988660902191759
ICLR,k33pct,1237,3710,MERIT,5.439164811269384,0.6043516456965985,0.0007492886788339,22.970301393411432,0.01856936248456866,5.439164811269384,9.798586335735308,0.007921250069309061,-0.010648112415259597
ICLR,k33pct,1237,3710,Randomized Threshold,108.00000000000006,12.0,1.0,0.4000000000005457,0.0003233629749398106,108.00000000000006,2.2737367544323206e-13,1.8381057028555541e-16,-0.00032336297493962675
ICLR,k33pct,1237,3710,Swiss NSF,11.413008989952411,1.268112109994712,0.634056054997356,26.395561683161304,0.021338368377656673,11.413008989952411,2.154635391153306,0.0017418232749824623,-0.01959654510267421
ICLR,k50pct,1855,3710,MERIT,11.357221387841772,1.2619134875379752,0.5043263103441301,14.022562977284906,0.00755933314139348,11.357221387841772,3.3637525707963505,0.0018133437039333426,-0.0057459894374601375
ICLR,k50pct,1855,3710,Randomized Threshold,1034.9999999999995,115.0,0.5,1.4644179894173703,0.0007894436600632724,1034.9999999999995,0.0,0.0,-0.0007894436600632724
ICLR,k50pct,1855,3710,Swiss NSF,10.162478082991262,1.1291642314434736,0.5645821157218002,21.17913841034806,0.011417325288597336,10.162478082991262,4.013723102683343,0.0021637321308266002,-0.009253593157770735
NeurIPS,k10pct,403,4034,MERIT,5.779110691688948,0.6421234101876605,0.3210617050938015,8.537134813765078,0.021183957354255777,5.779110691688948,4.032028503857532,0.010005033508331346,-0.011178923845924432
NeurIPS,k10pct,403,4034,Randomized Threshold,449.9999999999998,50.0,0.5,0.0787037037036952,0.0001952945501332387,449.9999999999998,1.1368683772161603e-13,2.8210133429681397e-16,-0.0001952945501329566
NeurIPS,k10pct,403,4034,Swiss NSF,11.386740331491922,1.2651933701657685,0.6325966850828729,8.703146101902973,0.021595896034498692,11.386740331491922,0.8577166053986502,0.002128329045654219,-0.019467566988844474
NeurIPS,k33pct,1345,4034,MERIT,187.09122103358968,20.78791344817664,0.8456322807247094,22.69317372762225,0.016872248124626208,187.09122103358968,-1.1368683772161603e-13,-8.452552990454723e-17,-0.01687224812462629
NeurIPS,k33pct,1345,4034,Randomized Threshold,900.0000000000005,100.0,1.0,1.2259259259258215,0.000911469089907674,900.0000000000005,0.0,0.0,-0.000911469089907674
NeurIPS,k33pct,1345,4034,Swiss NSF,10.530538922154904,1.170059880239433,0.5850299401197605,19.36321579064133,0.014396442967019576,10.530538922154904,4.499091971363669,0.0033450497928354415,-0.011051393174184135
NeurIPS,k50pct,2017,4034,MERIT,1852.9011321906091,205.87790357673435,0.5357873210633941,24.514414245162016,0.012153898981240464,1852.9011321906091,4.547473508864641e-13,2.2545728849105805e-16,-0.012153898981240238
NeurIPS,k50pct,2017,4034,Randomized Threshold,1431.000000000001,159.0,0.5,1.3407407407403298,0.0006647202482599553,1431.000000000001,4.547473508864641e-13,2.2545728849105805e-16,-0.0006647202482597299
NeurIPS,k50pct,2017,4034,Swiss NSF,10.300840336136194,1.144537815126243,0.5722689075630252,33.177329598507185,0.016448849577841936,10.300840336136194,4.013787491071525,0.0019899789246760166,-0.01445887065316592
Swiss NSF,k10pct,35,353,MERIT,4.705882352941179,0.9411764705882356,0.4705882352941177,0.0601167133520057,0.0017176203814858772,4.705882352941179,0.12488598041818832,0.003568170869091095,0.0018505504876052178
Swiss NSF,k10pct,35,353,Randomized Threshold,20.000000000000004,4.0,0.5,0.0297222222222224,0.0008492063492063543,20.000000000000004,0.0035746173469384246,0.0001021319241982407,-0.0007470744250081136
Swiss NSF,k10pct,35,353,Swiss NSF,18.671328671328677,3.734265734265734,0.9230769230769232,0.0312626262626203,0.000893217893217723,18.671328671328677,0.004203151758954249,0.00012009005025583568,-0.0007731278429618873
Swiss NSF,k33pct,118,353,MERIT,9.999999999999975,1.999999999999996,0.5714285714285712,0.0510770975056686,0.00043285675852261523,9.999999999999975,0.033502726487398604,0.00028392141091015765,-0.00014893534761245759
Swiss NSF,k33pct,118,353,Randomized Threshold,10.000000000000002,2.0,0.5,0.1077380952380906,0.0009130347054075474,10.000000000000002,0.033502726487412815,0.0002839214109102781,-0.0006291132944972694
Swiss NSF,k33pct,118,353,Swiss NSF,5.238095238095234,1.047619047619047,0.5238095238095238,0.0704081632652986,0.0005966793497059203,5.238095238095234,0.09173049841628256,0.0007773771052227335,0.00018069775551681324
Swiss NSF,k50pct,176,353,MERIT,7.0274035180725365,1.4054807036145074,0.5637319316688568,0.1884498258348514,0.0010707376467889284,7.0274035180725365,0.07541868772349858,0.0004285152711562419,-0.0006422223756326864
Swiss NSF,k50pct,176,353,Randomized Threshold,35.0,7.0,0.5,0.258531746031764,0.0014689303751804772,35.0,0.006219883786855007,3.5340248788948905e-05,-0.0014335901263915283
Swiss NSF,k50pct,176,353,Swiss NSF,21.428571428571423,4.285714285714287,0.4285714285714285,0.1623582766439995,0.0009224902082045426,21.428571428571423,0.009259524387999818,5.261093402272624e-05,-0.0008698792741818163
