L,regret_linear,regret_softmax,n_trials,regret_linear_std,regret_softmax_std,regret_linear_sd,regret_softmax_sd,k,r_min,r_med
0.1,0.10241105965272254,0.4092890031993533,50,0.016846859360264983,0.02330348019781244,0.016846859360264983,0.02330348019781244,1,5,5
0.1642857142857143,0.08171268309349046,0.37813287091565434,50,0.01518946152342379,0.02292462633369458,0.01518946152342379,0.02292462633369458,1,5,5
0.2285714285714286,0.06951857183265975,0.3484047138931756,50,0.014197052804556196,0.022423480006112734,0.014197052804556196,0.022423480006112734,1,5,5
0.2928571428571429,0.06118735533518569,0.3204714481159928,50,0.013206855638875626,0.021841882182729814,0.013206855638875626,0.021841882182729814,1,5,5
0.3571428571428572,0.05486219632011812,0.2945704556377798,50,0.01258263895495071,0.021223027155759584,0.01258263895495071,0.021223027155759584,1,5,5
0.4214285714285715,0.05000796726779039,0.2708148231390624,50,0.012044726789700507,0.020600802803705916,0.012044726789700507,0.020600802803705916,1,5,5
0.48571428571428577,0.046158647635130695,0.24921171806117326,50,0.011659131856699957,0.019994927748833727,0.011659131856699957,0.019994927748833727,1,5,5
0.55,0.043079291570830736,0.22968747177641596,50,0.011479447221940593,0.019411795362846006,0.011479447221940593,0.019411795362846006,1,5,5
0.6142857142857143,0.040493954675429294,0.21211367278786997,50,0.01130448209165358,0.018848732358770458,0.01130448209165358,0.018848732358770458,1,5,5
0.6785714285714286,0.03822645992011801,0.19633037766331968,50,0.011126317049582142,0.01829896759301147,0.011126317049582142,0.01829896759301147,1,5,5
0.7428571428571429,0.03621120598846081,0.18216450215333505,50,0.010895218206707689,0.01775550535334821,0.010895218206707689,0.01775550535334821,1,5,5
0.8071428571428572,0.034413500791616175,0.16944299527288031,50,0.01068106539858827,0.0172133063643496,0.01068106539858827,0.0172133063643496,1,5,5
0.8714285714285716,0.03284674552556924,0.15800134414370837,50,0.010477428758192455,0.016670008690786782,0.010477428758192455,0.016670008690786782,1,5,5
0.9357142857142858,0.03142908464859032,0.14768837677092367,50,0.010266770951981134,0.01612572764551864,0.010266770951981134,0.01612572764551864,1,5,5
1.0,0.030168369680489686,0.13836839204349055,50,0.010056927805075699,0.015582435531584757,0.010056927805075699,0.015582435531584757,1,5,5
