dataset,k_name,k,n,r_min,L_ref,mechanism,local_sensitivity,input_delta,l1_prob_change,max_prob_change,expected_regret,expected_regret_per_k,item_idx,review_col,direction,interval_shift_score
Beta,k10pct,20,200,5,0.2,Linear Lottery,0.1986111111111213,0.11111111111111105,0.02206790123456902,0.011033950617284016,3.3113427245733007,0.16556713622866503,8,1,1,0.06137550319674001
Beta,k10pct,20,200,5,0.2,MERIT,9.000000000000005,0.11111111111111105,1.0,0.5,0.010252379512621701,0.0005126189756310851,8,1,1,0.06137550319674001
Beta,k10pct,20,200,5,0.2,Randomized Threshold,9.000000000000005,0.11111111111111105,1.0,0.5,0.014670123487245945,0.0007335061743622973,18,3,1,0.05703853515195134
Beta,k10pct,20,200,5,0.2,Softmax,0.07643999999999833,0.11111111111111116,0.008493333333333151,0.004246666666666676,6.0618300473054205,0.30309150236527105,194,1,1,0.0734516992830131
Beta,k10pct,20,200,5,0.2,Swiss NSF,24.000000000000018,0.11111111111111105,2.666666666666667,0.6666666666666667,0.0,0.0,133,0,-1,0.06881314120064919
Beta,k33pct,67,200,5,0.2,Linear Lottery,0.19900000000008528,0.11111111111111105,0.022111111111120574,0.011055555555555485,11.91144968913688,0.17778283118114746,125,2,-1,0.07494422593706929
Beta,k33pct,67,200,5,0.2,MERIT,18.00000000000001,0.11111111111111105,2.0,0.5,0.0293585828449352,0.00043818780365574925,125,2,-1,0.07494422593706929
Beta,k33pct,67,200,5,0.2,Randomized Threshold,9.000000000000005,0.11111111111111105,1.0,0.5,0.07945287854402494,0.001185863858866044,72,1,1,0.07362378570869077
Beta,k33pct,67,200,5,0.2,Softmax,0.14928000000000893,0.11111111111111116,0.016586666666667665,0.008293333333333375,13.285668932438185,0.1982935661557938,34,0,1,0.07777777777777772
Beta,k33pct,67,200,5,0.2,Swiss NSF,17.035714285714278,0.11111111111111116,1.8928571428571428,0.625,0.01884879552558516,0.00028132530635201734,34,0,1,0.07777777777777772
