L,regret_linear,regret_softmax,n_trials,regret_linear_std,regret_softmax_std,regret_linear_sd,regret_softmax_sd,k,r_min,r_med
0.1,4.927682396923006,6.726193133805699,50,0.2633029156785011,0.3090349848476993,0.2633029156785011,0.3090349848476993,20,5,5
0.1642857142857143,3.8460227429759124,6.324600438644777,50,0.22224392800620357,0.28894873853755654,0.22224392800620357,0.28894873853755654,20,5,5
0.2285714285714286,3.1799946991572727,5.932624410403468,50,0.19062050572524344,0.26941419858905363,0.19062050572524344,0.26941419858905363,20,5,5
0.2928571428571429,2.7195348042273464,5.551673014052144,50,0.16619837055196737,0.24983009222414637,0.16619837055196737,0.24983009222414637,20,5,5
0.3571428571428572,2.3811603773804357,5.183577175748057,50,0.14835390687044925,0.23056955258156472,0.14835390687044925,0.23056955258156472,20,5,5
0.4214285714285715,2.115012010298104,4.83311482560398,50,0.13258618293968896,0.20998644442613398,0.13258618293968896,0.20998644442613398,20,5,5
0.48571428571428577,1.8982947535171946,4.496310177993944,50,0.1180840261665737,0.19254382253082816,0.1180840261665737,0.19254382253082816,20,5,5
0.55,1.7160977943363704,4.178985242643478,50,0.10545651226623322,0.17544312865999503,0.10545651226623322,0.17544312865999503,20,5,5
0.6142857142857143,1.559465859875718,3.8818188055151976,50,0.09397850589265298,0.15946230704729494,0.09397850589265298,0.15946230704729494,20,5,5
0.6785714285714286,1.4230583241784378,3.603096015714407,50,0.08392797536499161,0.14472740277505927,0.08392797536499161,0.14472740277505927,20,5,5
0.7428571428571429,1.3028712164984164,3.3433456160495867,50,0.07505805344646016,0.13024434722860612,0.07505805344646016,0.13024434722860612,20,5,5
0.8071428571428572,1.1972062751409218,3.1009527204582956,50,0.06794754943081362,0.11824232520973271,0.06794754943081362,0.11824232520973271,20,5,5
0.8714285714285716,1.1019690492098726,2.8766737487611986,50,0.06345178015452786,0.10779756956911865,0.06345178015452786,0.10779756956911865,20,5,5
0.9357142857142858,1.0148298560954916,2.6703996457449546,50,0.061442338496513135,0.09882149267747518,0.061442338496513135,0.09882149267747518,20,5,5
1.0,0.9354430746353402,2.479250866002877,50,0.06044175867799425,0.08925684978182424,0.06044175867799425,0.08925684978182424,20,5,5
