dataset,k_name,k,n,L,linear_regret,linear_regret_per_k
ICLR,k10pct,371,3710,1.2517735499297202,23.32246923676786,0.06286379848185407
ICLR,k10pct,371,3710,1.5851051469785928,19.404983201745438,0.0523045369319284
ICLR,k10pct,371,3710,1.9184367440274654,16.493292245773034,0.04445631333092462
ICLR,k10pct,371,3710,2.251768341076338,13.948497965032004,0.03759702955534233
ICLR,k10pct,371,3710,2.585099938125211,11.788703126875589,0.031775480126349294
ICLR,k10pct,371,3710,2.9184315351740833,10.304362798900513,0.027774562800270925
ICLR,k10pct,371,3710,3.2517631322229557,8.979559713422645,0.02420366499574837
ICLR,k10pct,371,3710,3.576495856942058,7.867583305830863,0.02120642400493494
ICLR,k10pct,371,3710,3.5850947292718285,7.841237940061205,0.02113541223736174
ICLR,k10pct,371,3710,3.9184263263207013,6.819971137854736,0.018382671530605757
ICLR,k10pct,371,3710,4.251757923369574,5.955707516108987,0.016053119989512095
ICLR,k10pct,371,3710,4.300111258269761,5.846545525179465,0.015758882817195324
ICLR,k10pct,371,3710,4.585089520418446,5.235826730323083,0.014112740513000224
ICLR,k10pct,371,3710,4.918421117467319,4.589133183671493,0.012369631222834212
ICLR,k10pct,371,3710,5.251752714516192,3.9465900024715665,0.01063770890154061
ICLR,k10pct,371,3710,5.585084311565065,3.538525721250096,0.009537805178571687
ICLR,k10pct,371,3710,5.66048126817414,3.4818311323697344,0.009384989575120578
ICLR,k10pct,371,3710,5.9184159086139365,3.287877701681964,0.00886220404766028
ICLR,k10pct,371,3710,6.251747505662809,3.037229682113889,0.008186602916749027
ICLR,k10pct,371,3710,6.585079102711682,2.7865816625457,0.007511001785837466
ICLR,k10pct,371,3710,6.918410699760555,2.5359336429775112,0.006835400654925906
ICLR,k10pct,371,3710,7.251742296809428,2.28568832326323,0.006160884968364501
ICLR,k10pct,371,3710,7.5850738938583,2.0393095081586807,0.005496791127112347
ICLR,k10pct,371,3710,7.614825614324203,2.017318812705298,0.005437517015378162
ICLR,k10pct,371,3710,7.918405490907173,1.793384949700794,0.0048339216973067225
ICLR,k10pct,371,3710,8.251737087956045,1.5524023144743069,0.004184372815294627
ICLR,k10pct,371,3710,8.585068685004916,1.4989135651374,0.004040198288780054
ICLR,k10pct,371,3710,8.91840028205379,1.4651893899383595,0.003949297547003665
ICLR,k10pct,371,3710,9.251731879102662,1.431465214739319,0.003858396805227275
ICLR,k10pct,371,3710,9.569169960474266,1.399349035037801,0.0037718302831207576
ICLR,k10pct,371,3710,9.585063476151534,1.3977410395402785,0.0037674960634508856
ICLR,k10pct,371,3710,9.918395073200408,1.364016864341238,0.003676595321674496
ICLR,k10pct,371,3710,10.25172667024928,1.3305242446866146,0.003586318718831845
