L,regret_linear,regret_softmax,n_trials,k,r_min,r_med
0.16666666666666666,0.16125679613108646,0.3882355555555558,1,1,3,4
0.2261904761904762,0.14437857507606067,0.38599108465608456,1,1,3,4
0.2857142857142857,0.12750035402103566,0.38533682539682557,1,1,3,4
0.34523809523809523,0.11062213296600976,0.3816801851851854,1,1,3,4
0.40476190476190477,0.10497582304526742,0.3796577248677251,1,1,3,4
0.4642857142857143,0.10154089506172836,0.3761837301587304,1,1,3,4
0.5238095238095238,0.09858194869890768,0.37576470899470915,1,1,3,4
0.5833333333333334,0.09562973792505969,0.37439388888888914,1,1,3,4
0.6428571428571429,0.09267752715121147,0.37098992063492076,1,1,3,4
0.7023809523809523,0.08972531637736303,0.36801939153439156,1,1,3,4
0.7619047619047619,0.08677310560351503,0.36585034391534377,1,1,3,4
0.8214285714285714,0.08382089482966681,0.36325449735449744,1,1,3,4
0.8809523809523809,0.0815102880658436,0.3624047354497354,1,1,3,4
0.9404761904761905,0.07936008230452685,0.35847119047619047,1,1,3,4
1.0,0.07720987654320988,0.35629878306878326,1,1,3,4
