L,regret_linear,regret_softmax,n_trials,regret_linear_std,regret_softmax_std,regret_linear_sd,regret_softmax_sd,k,r_min,r_med
0.1,0.1080378676661999,0.4091229737328818,20,0.0202050203041836,0.0259871844725633,0.0202050203041836,0.0259871844725633,1,5,5
0.1642857142857143,0.0864807248054085,0.3775156633262531,20,0.0176148002224717,0.0254737584087839,0.0176148002224717,0.0254737584087839,1,5,5
0.2285714285714286,0.0743853754144694,0.3496605448815361,20,0.0160520273967616,0.025463349060142,0.0160520273967616,0.025463349060142,1,5,5
0.2928571428571429,0.0665305794932788,0.3213960442716506,20,0.0152734536175197,0.0247967497802799,0.0152734536175197,0.0247967497802799,1,5,5
0.3571428571428572,0.0610679967335419,0.2951724703721293,20,0.0147955244449258,0.0243069471077247,0.0147955244449258,0.0243069471077247,1,5,5
0.4214285714285715,0.0568315141169141,0.2727440604462375,20,0.0144420290047356,0.0238857284687648,0.0144420290047356,0.0238857284687648,1,5,5
0.4857142857142857,0.0532816847800337,0.2517013283359525,20,0.0143209103991091,0.0228961618029708,0.0143209103991091,0.0228961618029708,1,5,5
0.55,0.050173259578284,0.232157338723057,20,0.0142620222838292,0.0227461321140265,0.0142620222838292,0.0227461321140265,1,5,5
0.6142857142857143,0.0475478403095762,0.2153366217351986,20,0.0141531171099734,0.0221844164010216,0.0141531171099734,0.0221844164010216,1,5,5
0.6785714285714286,0.0453396124442884,0.1999719136582767,20,0.0140668833660145,0.0207267058322188,0.0140668833660145,0.0207267058322188,1,5,5
0.7428571428571429,0.0433791408354969,0.1863630135978733,20,0.0139442761059867,0.0207797543618688,0.0139442761059867,0.0207797543618688,1,5,5
0.8071428571428572,0.0416289135257987,0.1739319818147534,20,0.0137762275725871,0.0195793278499505,0.0137762275725871,0.0195793278499505,1,5,5
0.8714285714285716,0.040183725648103,0.162596941965321,20,0.0135135106539191,0.0190730479666093,0.0135135106539191,0.0190730479666093,1,5,5
0.9357142857142858,0.0389025209202709,0.1527793207683089,20,0.0132597847658971,0.0186409122035991,0.0132597847658971,0.0186409122035991,1,5,5
1.0,0.0378061400208901,0.1439386867163502,20,0.0130395744840073,0.0178374037776203,0.0130395744840073,0.0178374037776203,1,5,5
