L,regret_linear,regret_softmax,n_trials,k,r_min,r_med
0.1,23.859703129039346,24.948225396825393,1,118,5,8
0.1642857142857143,21.267000287121874,23.141491214285708,1,118,5,8
0.2285714285714286,18.674297445204374,21.358770047619046,1,118,5,8
0.2928571428571429,16.28244868062953,19.660597738095234,1,118,5,8
0.3571428571428572,14.053066274079086,18.08351726190476,1,118,5,8
0.4214285714285715,12.25097957680147,16.571254349206356,1,118,5,8
0.48571428571428577,10.683079044279538,15.168868412698401,1,118,5,8
0.55,9.212957971925988,13.87280065873017,1,118,5,8
0.6142857142857143,7.833454194309965,12.681994571428561,1,118,5,8
0.6785714285714286,6.649884371778143,11.548674563492057,1,118,5,8
0.7428571428571429,5.791142807837858,10.563701357142875,1,118,5,8
0.8071428571428572,5.0999453121163185,9.642412849206337,1,118,5,8
0.8714285714285716,4.518381328160629,8.827222198412699,1,118,5,8
0.9357142857142858,4.05829993576755,8.0825317063492,1,118,5,8
1.0,3.6687146334026437,7.420294579365063,1,118,5,8
