L,regret_linear,regret_softmax,n_trials,k,r_min,r_med
0.1,0.0716134660141522,0.3892102539682538,1,1,5,8
0.1642857142857143,0.0520951234362792,0.3615149523809523,1,1,5,8
0.2285714285714286,0.04167496670625925,0.33444433333333334,1,1,5,8
0.2928571428571429,0.03618804140673826,0.3110668253968254,1,1,5,8
0.3571428571428572,0.03149615461578936,0.2908913650793651,1,1,5,8
0.4214285714285715,0.027080428433025938,0.26889026190476184,1,1,5,8
0.48571428571428577,0.02322609480996518,0.2481689682539684,1,1,5,8
0.55,0.01949728405007245,0.22548815873015882,1,1,5,8
0.6142857142857143,0.016239444984342932,0.21486891269841268,1,1,5,8
0.6785714285714286,0.013561845373069703,0.20116260317460322,1,1,5,8
0.7428571428571429,0.010884245761796807,0.18797046825396813,1,1,5,8
0.8071428571428572,0.008297857502789552,0.17489753968253974,1,1,5,8
0.8714285714285716,0.007389005866897058,0.1608720238095237,1,1,5,8
0.9357142857142858,0.0064801542310044535,0.15188885714285716,1,1,5,8
1.0,0.005903220663265207,0.14069288888888898,1,1,5,8
