L,regret_linear,regret_softmax,n_trials,k,r_min,r_med
0.1,0.0716134660141522,0.3880035935350563,1,1,5,8
0.1642857142857143,0.0520951234362792,0.36090977131763136,1,1,5,8
0.2285714285714286,0.04167496670625925,0.33524027698593284,1,1,5,8
0.2928571428571429,0.03618804140673826,0.31112405097159357,1,1,5,8
0.3571428571428572,0.03149615461578936,0.2886295692761407,1,1,5,8
0.4214285714285715,0.027080428433025938,0.2677702897304016,1,1,5,8
0.48571428571428577,0.02322609480996518,0.24851380727538297,1,1,5,8
0.55,0.01949728405007245,0.23079280624524634,1,1,5,8
0.6142857142857143,0.016239444984342932,0.21451612889634963,1,1,5,8
0.6785714285714286,0.013561845373069703,0.19957875327526264,1,1,5,8
0.7428571428571429,0.010884245761796807,0.1858700000971638,1,1,5,8
0.8071428571428572,0.008297857502789552,0.1732797391484362,1,1,5,8
0.8714285714285716,0.007389005866897058,0.1617026838621749,1,1,5,8
0.9357142857142858,0.0064801542310044535,0.15104104541778174,1,1,5,8
1.0,0.005903220663265207,0.1412058915945531,1,1,5,8
