L,regret_linear,regret_softmax,n_trials,k,r_min,r_med
0.16666666666666666,47.61276806307592,51.5378145767196,1,371,3,4
0.2261904761904762,45.73153648277224,51.03659328042329,1,371,3,4
0.2857142857142857,43.901208590966746,50.56279338624336,1,371,3,4
0.34523809523809523,42.117834697811986,50.063864603174636,1,371,3,4
0.40476190476190477,40.37509548813961,49.528331534391555,1,371,3,4
0.4642857142857143,38.72795050586586,49.016701137566145,1,371,3,4
0.5238095238095238,37.1561504306398,48.541513518518485,1,371,3,4
0.5833333333333334,35.663804960799695,48.02441335978838,1,371,3,4
0.6428571428571429,34.229448621803925,47.514223994709,1,371,3,4
0.7023809523809523,32.863293404079855,46.99395206349203,1,371,3,4
0.7619047619047619,31.54037675613324,46.47929447089945,1,371,3,4
0.8214285714285714,30.28702827638972,45.9689159259259,1,371,3,4
0.8809523809523809,29.191797271462974,45.44971089947086,1,371,3,4
0.9404761904761905,28.122628390016217,44.89236079365074,1,371,3,4
1.0,27.05460760887678,44.380661243386214,1,371,3,4
