dataset,n,mean_u,std_u,u_p90,u_p75,u_p50,u_p25,u_p10,gap_p90_p80,gap_p80_p70
beta,200,0.504129086912361,0.23088219839878746,0.8313861735153405,0.6819190576266315,0.49322766170642784,0.3211065285187189,0.19631968801169836,0.0822770332934184,0.10299528333015795
iclr,3710,0.6059039632624539,0.07557994512783976,0.711111111111111,0.6666666666666666,0.6111111111111112,0.5555555555555556,0.5277777777777778,0.04444444444444429,0.0277777777777779
neurips,4034,0.546531204339831,0.06672615063450608,0.6388888888888888,0.5833333333333334,0.5555555555555556,0.5,0.47222222222222215,0.04629629629629617,0.009259259259259411
swissnsf,353,0.567483699806646,0.21377739367627022,0.827857142857143,0.75,0.575,0.4,0.26071428571428573,0.052857142857142936,0.07500000000000007
