k_name,alpha,beta,trial,n,r,k,L_multiplier,L,regret_linear,regret_softmax,regret_linear_per_k,regret_softmax_per_k
k50pct,1,1,0,200,5,100,1.0,0.2,17.12201196577697,17.90576633795444,0.1712201196577697,0.1790576633795444
k50pct,1,1,0,200,5,100,2.0,0.4,8.721085980611534,11.580681555680414,0.08721085980611534,0.11580681555680414
k50pct,1,1,1,200,5,100,1.0,0.2,17.01038411599812,17.77063897165724,0.17010384115998123,0.1777063897165724
k50pct,1,1,1,200,5,100,2.0,0.4,8.644079041041707,11.44721678810128,0.08644079041041706,0.11447216788101279
k50pct,1,1,2,200,5,100,1.0,0.2,16.690679493566662,17.351066230016755,0.16690679493566662,0.17351066230016754
k50pct,1,1,2,200,5,100,2.0,0.4,8.556057741710916,11.242728163058572,0.08556057741710915,0.11242728163058573
k50pct,1,1,3,200,5,100,1.0,0.2,17.337393962788433,18.135111774768184,0.17337393962788433,0.18135111774768184
k50pct,1,1,3,200,5,100,2.0,0.4,8.31676273496143,11.44272598484946,0.08316762734961429,0.1144272598484946
k50pct,1,1,4,200,5,100,1.0,0.2,16.780815135683298,17.536910535471094,0.16780815135683297,0.17536910535471095
k50pct,1,1,4,200,5,100,2.0,0.4,8.294287435943758,11.24837470260141,0.08294287435943758,0.1124837470260141
k50pct,1,1,5,200,5,100,1.0,0.2,16.400313172256745,17.033388354069963,0.16400313172256745,0.17033388354069964
k50pct,1,1,5,200,5,100,2.0,0.4,8.599686056114066,11.108450977032923,0.08599686056114067,0.11108450977032923
k50pct,1,1,6,200,5,100,1.0,0.2,16.688436159059115,17.480607083258683,0.16688436159059117,0.1748060708325868
k50pct,1,1,6,200,5,100,2.0,0.4,8.002833220246302,11.199810539986274,0.08002833220246303,0.11199810539986274
k50pct,1,1,7,200,5,100,1.0,0.2,16.28298295781523,16.962343575568525,0.16282982957815229,0.16962343575568525
k50pct,1,1,7,200,5,100,2.0,0.4,8.70801341397241,11.256034827369753,0.0870801341397241,0.11256034827369753
k50pct,1,1,8,200,5,100,1.0,0.2,16.18568039771082,16.93572523172012,0.1618568039771082,0.1693572523172012
k50pct,1,1,8,200,5,100,2.0,0.4,8.332790794613032,11.157129730347975,0.08332790794613032,0.11157129730347976
k50pct,1,1,9,200,5,100,1.0,0.2,16.162577265082433,16.862641065218497,0.16162577265082434,0.16862641065218498
k50pct,1,1,9,200,5,100,2.0,0.4,8.168834614813946,10.889777577543342,0.08168834614813945,0.10889777577543341
k50pct,1,1,10,200,5,100,1.0,0.2,16.36582511067604,17.08750604981872,0.1636582511067604,0.1708750604981872
k50pct,1,1,10,200,5,100,2.0,0.4,8.35139588727128,11.118831838143961,0.0835139588727128,0.11118831838143961
k50pct,1,1,11,200,5,100,1.0,0.2,16.83767882614626,17.619717131447487,0.1683767882614626,0.17619717131447488
k50pct,1,1,11,200,5,100,2.0,0.4,8.387151015006154,11.4174994038178,0.08387151015006154,0.114174994038178
k50pct,1,1,12,200,5,100,1.0,0.2,16.955582987038312,17.800929496149692,0.16955582987038312,0.17800929496149692
k50pct,1,1,12,200,5,100,2.0,0.4,8.091306140457263,11.362130931777571,0.08091306140457263,0.11362130931777571
k50pct,1,1,13,200,5,100,1.0,0.2,16.807818210347847,17.631520744578815,0.16807818210347847,0.17631520744578816
