L,regret_linear,regret_softmax,n_trials,k,r_min,r_med
0.16666666666666666,0.1334125093254397,0.3106255555555557,1,1,3,4
0.2261904761904762,0.1267690144428285,0.30969806878306927,1,1,3,4
0.2857142857142857,0.12012551956021744,0.3067132010582012,1,1,3,4
0.34523809523809523,0.11381630320166469,0.3043573280423285,1,1,3,4
0.40476190476190477,0.10803487472580953,0.3052057936507939,1,1,3,4
0.4642857142857143,0.10349312726384852,0.3019754761904765,1,1,3,4
0.5238095238095238,0.09895137980188773,0.3004772486772488,1,1,3,4
0.5833333333333334,0.09446526948095046,0.2976174603174605,1,1,3,4
0.6428571428571429,0.09181579621095748,0.29700394179894196,1,1,3,4
0.7023809523809523,0.0891663229409646,0.29479259259259283,1,1,3,4
0.7619047619047619,0.08661395933426574,0.29338351851851885,1,1,3,4
0.8214285714285714,0.08413139329805996,0.2914393650793653,1,1,3,4
0.8809523809523809,0.08164882726185396,0.290871322751323,1,1,3,4
0.9404761904761905,0.07916626122564818,0.2890259788359789,1,1,3,4
1.0,0.07668369518944218,0.2880460317460318,1,1,3,4
