L,regret_linear,regret_softmax,n_trials,k,r_min,r_med
0.16666666666666666,0.1334125093254397,0.31010093995225363,1,1,3,4
0.2261904761904762,0.1267690144428285,0.3084880278134666,1,1,3,4
0.2857142857142857,0.12012551956021744,0.306867862506213,1,1,3,4
0.34523809523809523,0.11381630320166469,0.3052402782706215,1,1,3,4
0.40476190476190477,0.10803487472580953,0.3036051079068838,1,1,3,4
0.4642857142857143,0.10349312726384852,0.30196218233396943,1,1,3,4
0.5238095238095238,0.09895137980188773,0.3003113301037015,1,1,3,4
0.5833333333333334,0.09446526948095046,0.29865237686763635,1,1,3,4
0.6428571428571429,0.09181579621095748,0.29698514479428695,1,1,3,4
0.7023809523809523,0.0891663229409646,0.2953094519345758,1,1,3,4
0.7619047619047619,0.08661395933426574,0.2936251115336075,1,1,3,4
0.8214285714285714,0.08413139329805996,0.29193193128732486,1,1,3,4
0.8809523809523809,0.08164882726185396,0.2902297125429061,1,1,3,4
0.9404761904761905,0.07916626122564818,0.2885182494423677,1,1,3,4
1.0,0.07668369518944218,0.28679732800928504,1,1,3,4
