L,regret_linear,regret_softmax,n_trials,regret_linear_std,regret_softmax_std,regret_linear_sd,regret_softmax_sd,k,r_min,r_med
0.1,16.36636002831004,16.5260074848276,20,0.7422485418670095,0.7622469804483221,0.7422485418670095,0.7622469804483221,100,5,5
0.1642857142857143,14.735478513501448,15.033212061064148,20,0.6219748506865421,0.645661589369301,0.6219748506865421,0.645661589369301,100,5,5
0.2285714285714286,13.104596998692864,13.60940869042852,20,0.5062136690441286,0.5454859517345688,0.5062136690441286,0.5454859517345688,100,5,5
0.2928571428571429,11.473715483884272,12.260766096574638,20,0.3989130098472656,0.462505116628218,0.3989130098472656,0.462505116628218,100,5,5
0.3571428571428572,9.84283396907568,10.99389505287957,20,0.3090156096080152,0.3892856394751835,0.3090156096080152,0.3892856394751835,100,5,5
0.4214285714285715,8.219565533899068,9.837634773656175,20,0.2541114023657408,0.3318892304245737,0.2541114023657408,0.3318892304245737,100,5,5
0.4857142857142857,6.75522681134872,8.790079365066983,20,0.2527048700735113,0.2884082891694595,0.2527048700735113,0.2884082891694595,100,5,5
0.55,5.588858350281353,7.859516169629634,20,0.2569259181329493,0.2545219815856341,0.2569259181329493,0.2545219815856341,100,5,5
0.6142857142857143,4.671714976402304,7.028054182943196,20,0.2636175761313981,0.2342635671032181,0.2636175761313981,0.2342635671032181,100,5,5
0.6785714285714286,3.9679048221213264,6.309719933184303,20,0.2557662025376359,0.2183212374631745,0.2557662025376359,0.2183212374631745,100,5,5
0.7428571428571429,3.416444441409081,5.6819676117485045,20,0.2622031165310791,0.2065325494143936,0.2622031165310791,0.2065325494143936,100,5,5
0.8071428571428572,2.974988509808635,5.133761176045981,20,0.2714390947232074,0.2013963864449962,0.2714390947232074,0.2013963864449962,100,5,5
0.8714285714285716,2.6231747019094183,4.6599422510841615,20,0.2695621214058484,0.1983083114058993,0.2695621214058484,0.1983083114058993,100,5,5
0.9357142857142858,2.3354888800941858,4.245495364491704,20,0.2620841300344043,0.1960731453504351,0.2620841300344043,0.1960731453504351,100,5,5
1.0,2.0992158194940584,3.884346338546115,20,0.2528755837474079,0.1914910431139973,0.2528755837474079,0.1914910431139973,100,5,5
