L,regret_linear,regret_softmax,n_trials,k,r_min,r_med
0.16666666666666666,47.61276806307592,51.53718285714291,1,371,3,4
0.2261904761904762,45.73153648277224,51.03866066137567,1,371,3,4
0.2857142857142857,43.901208590966746,50.545728465608505,1,371,3,4
0.34523809523809523,42.117834697811986,50.0288082010583,1,371,3,4
0.40476190476190477,40.37509548813961,49.53962203703705,1,371,3,4
0.4642857142857143,38.72795050586586,49.01260484126985,1,371,3,4
0.5238095238095238,37.1561504306398,48.530720079365096,1,371,3,4
0.5833333333333334,35.663804960799695,48.01495328042333,1,371,3,4
0.6428571428571429,34.229448621803925,47.51849322751326,1,371,3,4
0.7023809523809523,32.863293404079855,46.99290145502647,1,371,3,4
0.7619047619047619,31.54037675613324,46.46402486772496,1,371,3,4
0.8214285714285714,30.28702827638972,45.991173042328114,1,371,3,4
0.8809523809523809,29.191797271462974,45.42693928571438,1,371,3,4
0.9404761904761905,28.122628390016217,44.91620489417997,1,371,3,4
1.0,27.05460760887678,44.39643751322757,1,371,3,4
