(348.0, 352.0)
(347.0, 351.0)
(346.0, 351.0)
(346.0, 351.0)
(346.0, 351.0)
(344.0, 350.0)
(343.0, 349.0)
(336.0, 345.0)
(336.0, 345.0)
(335.0, 344.0)
(335.0, 344.0)
(335.0, 343.0)
(334.0, 343.0)
(334.0, 343.0)
(334.0, 342.0)
(333.0, 342.0)
(333.0, 343.0)
(332.0, 342.0)
(332.0, 341.0)
(326.0, 337.0)
(326.0, 337.0)
(325.0, 336.0)
(322.75, 333.0)
(316.0, 330.0)
(316.0, 331.0)
(316.0, 330.0)
(316.0, 330.0)
(314.0, 329.0)
(314.0, 328.0)
(313.0, 328.0)
(313.0, 328.0)
(311.75, 329.0)
(308.0, 325.0)
(304.0, 323.0)
(299.0, 324.0)
(301.0, 321.0)
(300.0, 321.0)
(298.0, 320.0)
(295.0, 318.0)
(295.0, 318.0)
(294.0, 317.0)
(293.0, 317.0)
(290.0, 314.0)
(290.0, 315.0)
(290.0, 314.0)
(290.0, 314.0)
(290.0, 313.0)
(286.0, 311.0)
(286.0, 311.0)
(286.0, 311.0)
(285.0, 311.0)
(285.0, 311.0)
(285.0, 310.0)
(283.0, 311.0)
(279.0, 307.0)
(278.0, 307.0)
(278.0, 306.0)
(277.0, 306.0)
(278.0, 305.0)
(276.0, 303.0)
(276.0, 303.0)
(273.0, 302.0)
(272.0, 299.0)
(271.0, 298.0)
(271.0, 298.0)
(271.0, 298.0)
(271.0, 298.0)
(270.0, 299.0)
(270.0, 299.0)
(271.0, 298.0)
(270.0, 298.0)
(270.0, 298.0)
(270.0, 297.0)
(270.0, 297.0)
(269.0, 296.0)
(268.0, 297.0)
(268.0, 296.0)
(267.0, 296.0)
(267.0, 293.0)
(265.0, 292.0)
(265.0, 292.0)
(264.0, 292.0)
(264.0, 290.0)
(262.0, 291.0)
(262.0, 287.0)
(257.0, 285.0)
(258.0, 284.0)
(258.0, 284.0)
(257.0, 282.0)
(252.0, 278.0)
(253.0, 277.0)
(251.0, 276.0)
(251.0, 276.0)
(249.0, 274.0)
(249.0, 273.0)
(249.0, 271.0)
(246.0, 268.0)
(246.0, 268.0)
(246.0, 268.0)
(245.0, 267.0)
(243.0, 265.0)
(241.0, 263.0)
(240.0, 262.0)
(240.0, 259.0)
(240.0, 260.0)
(235.0, 256.0)
(235.0, 256.0)
(233.0, 254.0)
(233.0, 254.0)
(232.0, 253.0)
(228.0, 249.0)
(227.0, 250.0)
(222.0, 245.0)
(221.0, 245.0)
(222.0, 243.0)
(221.0, 245.0)
(221.0, 243.0)
(222.0, 243.0)
(221.0, 244.0)
(221.0, 243.0)
(221.0, 243.0)
(221.0, 243.0)
(217.0, 238.0)
(216.0, 239.0)
(215.0, 239.0)
(214.0, 239.0)
(213.0, 239.0)
(212.0, 237.0)
(211.0, 235.0)
(208.0, 236.0)
(209.0, 233.0)
(209.0, 233.0)
(209.0, 232.0)
(206.0, 230.0)
(201.0, 227.0)
(200.0, 227.0)
(197.0, 225.0)
(197.0, 225.0)
(197.0, 225.0)
(196.0, 221.0)
(196.0, 221.0)
(195.0, 222.0)
(195.0, 222.0)
(193.0, 223.0)
(193.0, 220.0)
(193.0, 219.0)
(193.0, 218.0)
(193.0, 219.0)
(191.0, 218.0)
(191.0, 216.0)
(190.0, 216.0)
(186.0, 214.0)
(185.0, 214.0)
(182.0, 209.0)
(182.0, 208.0)
(180.0, 206.0)
(178.0, 206.0)
(178.0, 205.0)
(178.0, 205.0)
(178.0, 205.0)
(177.0, 205.0)
(177.0, 206.0)
(177.0, 205.0)
(177.0, 205.0)
(174.0, 206.0)
(176.0, 204.0)
(171.0, 200.0)
(169.0, 201.0)
(171.0, 199.0)
(169.0, 200.0)
(169.0, 196.0)
(169.0, 195.0)
(168.0, 195.0)
(166.0, 192.0)
(163.0, 192.0)
(164.0, 190.0)
(163.75, 190.0)
(163.0, 190.0)
(161.0, 190.0)
(162.0, 189.0)
(158.0, 189.0)
(158.0, 185.0)
(156.0, 184.0)
(157.0, 183.0)
(157.0, 182.0)
(157.0, 182.0)
(156.75, 182.0)
(157.0, 181.0)
(155.0, 183.0)
(152.0, 182.0)
(154.0, 180.0)
(152.0, 176.0)
(149.0, 177.0)
(150.0, 175.0)
(150.0, 175.0)
(150.0, 175.0)
(146.0, 172.0)
(145.0, 170.0)
(145.0, 170.0)
(141.0, 165.0)
(141.0, 163.0)
(138.0, 161.0)
(138.0, 161.0)
(138.0, 161.0)
(138.0, 160.0)
(137.0, 160.0)
(137.0, 160.0)
(135.0, 159.0)
(135.0, 157.0)
(133.0, 156.0)
(133.0, 154.0)
(133.0, 154.0)
(131.0, 154.0)
(131.0, 151.0)
(129.0, 151.0)
(128.0, 151.0)
(126.0, 147.0)
(126.0, 147.0)
(126.0, 147.0)
(125.0, 146.0)
(120.0, 142.0)
(119.0, 141.0)
(115.0, 137.0)
(115.0, 137.0)
(114.0, 135.0)
(114.0, 135.0)
(114.0, 135.0)
(114.0, 135.0)
(108.0, 132.0)
(108.0, 130.0)
(107.0, 133.0)
(107.0, 132.0)
(107.0, 131.0)
(107.0, 131.0)
(102.0, 126.0)
(101.0, 125.0)
(101.0, 125.0)
(100.0, 125.0)
(100.0, 125.0)
(98.0, 122.0)
(96.0, 124.0)
(95.0, 123.0)
(95.0, 120.0)
(90.75, 119.0)
(87.0, 115.0)
(86.0, 114.0)
(86.0, 114.0)
(86.0, 114.0)
(86.0, 113.0)
(85.0, 113.0)
(86.0, 113.0)
(83.0, 112.0)
(83.0, 111.0)
(80.0, 108.0)
(80.0, 108.0)
(80.0, 108.0)
(76.0, 107.0)
(76.0, 107.0)
(76.0, 106.0)
(72.0, 102.0)
(71.0, 102.0)
(72.0, 100.0)
(71.0, 100.0)
(71.0, 100.0)
(67.0, 98.0)
(68.0, 97.0)
(68.0, 97.0)
(67.0, 97.0)
(67.0, 96.0)
(67.0, 97.0)
(66.0, 96.0)
(66.0, 96.0)
(64.0, 97.0)
(66.0, 95.0)
(66.0, 94.25)
(66.0, 94.0)
(65.0, 94.0)
(65.0, 94.0)
(60.0, 92.0)
(62.0, 91.0)
(59.0, 92.0)
(61.0, 90.0)
(61.0, 91.0)
(60.0, 91.0)
(60.0, 91.0)
(60.0, 90.0)
(59.0, 86.0)
(59.0, 85.0)
(58.0, 86.0)
(58.0, 86.0)
(57.0, 85.0)
(56.0, 82.0)
(55.0, 80.0)
(55.0, 80.0)
(54.0, 80.0)
(55.0, 80.0)
(55.0, 79.0)
(52.0, 78.0)
(49.0, 74.0)
(49.0, 71.0)
(49.0, 71.0)
(48.0, 70.0)
(44.0, 62.0)
(45.0, 61.0)
(44.0, 61.0)
(44.0, 60.0)
(44.0, 60.0)
(43.0, 59.0)
(41.0, 53.0)
(41.0, 53.0)
(38.0, 49.0)
(37.0, 47.0)
(36.0, 45.0)
(36.0, 45.0)
(36.0, 45.0)
(34.0, 42.0)
(30.0, 39.0)
(27.0, 37.0)
(26.0, 36.0)
(25.0, 35.0)
(25.0, 35.0)
(24.0, 34.0)
(22.0, 33.0)
(20.0, 32.0)
(20.0, 31.0)
(20.0, 31.0)
(20.0, 31.0)
(19.0, 30.0)
(18.75, 30.0)
(18.0, 30.0)
(18.0, 29.0)
(15.0, 26.0)
(14.0, 26.0)
(14.0, 25.0)
(13.0, 25.0)
(13.0, 24.0)
(13.0, 24.0)
(13.0, 24.0)
(11.0, 22.0)
(11.0, 21.0)
(9.0, 18.0)
(9.0, 17.0)
(8.0, 15.0)
(8.0, 15.0)
(7.0, 14.0)
(7.0, 14.0)
(6.0, 12.0)
(4.0, 5.0)
(3.0, 4.0)
(2.0, 4.0)
(0.0, 2.0)
(0.0, 2.0)
(0.0, 2.0)
